,Unnamed: 0,issuekey,title,description,storypoint,project
15635,17181,XD-2557,upgrade to reactor 20 rc1,as a developer id like to upgrade to reactor 20 rc1 release so that we can synchronize with stable dependencies,5,springxd
15637,17183,XD-2559,add redis based aggregate field value counters,as a user id like to have a redis based _aggregation_ over fieldvalue counters so that i can continuously write the aggregation in redis as we ingest more data scope port specs from previous implementation identify gaps update reference documentation,3,springxd
15638,17184,XD-2560,add inmemory based aggregate field value counters,as a user id like to have a redis based aggregation over fieldvalue counters so that i can continuously write the aggregation in redis as we ingest more data scope port specs from previous implementation identify gaps update reference documentation,3,springxd
15640,17186,XD-2562,move the hadoop test dependencies to a different project,as a developer id like to isolate the hadoop tests in a different project so that the dirt project doesnt have to depend upon thus eliminating the incorrect cp file generation in eclipse,3,springxd
15644,17190,XD-2566,add support to test xd on yarn in ec2,as a developer id like to have acceptance test coverage for xd yarn on ec2 so that i can verify simple xd features running on yarn on every build cycle,8,springxd
15648,17195,XD-2571,update reactorip and syslog modules to reactor 20 rc1,as a developer id like to upgrade _reactorip_ and _syslog_ modules to reactor 20 so that we can sync up with the latest release,1,springxd
15664,17212,XD-2590,create messageconverter interface to allow user extensions,as a user id like to have the option to extend the default message handling behavior for http sourcemodule so that i can override the settings via _serversyml_ to control the default message size notes the adapter currently has that hardcoded in the httpchunkaggregator we will have to expose this property for overrides related pr,3,springxd
15670,17219,XD-2597,add an xdyarn info command to list admin servers and ports,as a user deploying xd on yarn i need a convenient way to get info like the admin port for my current deployment best way for now would be to add an info command to the xdyarn script with the latest changes the admin server runs on a random port when we deploy to yarn in order for the user to connect they would have to query zookeeper this is inconvenient,5,springxd
15675,17224,XD-2603,create plugin module for rxjava based processors,as an developer id like to have a similar approach to creating reactor based stream processor as with spark and rxjava a plugin should allow a reactor processor module to specify the bare minimum to work eg the processor class explore how additional configuration can be achieved with well known module option commands,3,springxd
15678,17227,XD-2606,add support to track history in message headers,as a user id like to have an option to track history so that i get the visibility of stream name module name etc added as part of the message header,3,springxd
